name,stats,subtext1,subtext2,subtext3,subtext4,author,inspiration,inspiration-source,source,source-url
Berserker,"4 HP, 1 armor, 14 STR, battleaxe (d10, bulky)",""" • Tribal fighters who fight recklessly, never taking prisoners.""",""" • Can enter in battle rage, enhancing all damage dealt and received.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Black Pudding,"10 HP, 5 DEX, devouring touch (d8)",""" • Huge, brainless blobs of black jelly driven by unstoppable hunger.""",""" • Can only be harmed by flames.""",""" • Can move in walls and ceilings and squeeze through small holes.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Blink Dog,"3 HP, 14 DEX, bite (d6)",""" • Intelligent, fey-like dogs that live in packs.""",""" • Teleport away in a blink after attacking.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Boar,"3 HP, 12 STR, 6 WIL, tusks (d6)",""" • Omnivorous wild boars that dwell primarily in forests.""",""" • Not naturally aggressive, but can be dangerous if disturbed.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Brigand,"4 HP, 1 armor, shortsword (d6) or short bow (d6)",""" • Outlaws and mercenaries who raid settlements and ambush travelers.""",""" • Travel in large groups of at least one detachment.""",""" • For each detachment of regular brigands, there’s one leader who has chainmail (2 armor) and a longsword(d8).""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Buccaneer,"4 HP, 14 DEX, 12 WIL, scimitar (d6)",""" • Outlaw sailors who raid coastal settlements and board other ships.""",""" • Travel in large ship crews, only fighting in clear advantage, generally numerical.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Bugbear,"4 HP, 1 Armor, 14 DEX, club (d8, bulky)",""" • Large, hairy, goblinoid-like creatures.""",""" • Use stealth to surprise and attack their victims.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Camel,"3 HP, 15 STR, bite (d6)",""" • Beasts of burden native to drylands.""",""" • Might go weeks without water after being properly sated.""",""" • Moves through sand and broken ground without difficulty.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Cat, Lion","5 HP, 12 STR, 12 DEX, bite (d10)",""" • Hunts in groups called pride. Live in savannahs or other similar drylands.""",""" • Carnivorous. Prefer to eat bovines but might hunt even humans.""",""" • Always chase prey that flees.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Cat, Panther","4 HP, 14 DEX, bite (d8)",""" • Dark furred cats that live on forests and plains.""",""" • Hunts medium or small-sized animals, using their high speed in their favor.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Cat, Sabre-Toothed Tiger","8 HP, STR 15, bite (d10)",""" • Huge, aggressive cats with foot-long fangs.""",""" • Extremely rare, generally found in regions untouched by civilization.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Cat, Tiger","6 HP, 14 STR, 14 DEX, bite (d8)",""" • Large, with striped fur. Live in woodlands and colder regions.""",""" • Hunt alone, using their coloration to camouflage and surprise their victims.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Catoplebas,"7 HP, 13 STR, tail(d8)",""" • Monstrous creatures with a long, bony tail, a bloated body, short and stumpy legs, a long neck, and a boar-like head. Dwell in swamps.""",""" • Critical damage: the tail renders the victim stunned (d8 DEX damage).""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Cave Locust,"2 HP, 6 STR, 12 DEX, bite (d4)",""" • Giant, herbivorous crickets that dwell in caves. Easily blend into stone due to their natural coloration.""",""" • Emmit loud shrieks when threatened, possibly alerting other nearby creatures.""",""" • Immune to most types of poison.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Centaur,"4 HP, 1 Armor, 12 STR, 12 DEX, 13 WIL, spear or short bow (d6)",""" • Creatures with the lower body and legs of a horse and the upper body and head of a human.""",""" • Live in small tribes hidden amidst dense forests with labyrinthic paths.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Centipede, Giant","1 HP, 6 STR, 6 WIL, bite (d4)",""" • 1’ long centipedes that live in damp, underground places.""",""" • Critical damage: their deadly poison hinders the target incapacitated for up to 10 days (save STR once a day to recover).""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Chimera,"9 HP, 14 STR, bite (d6+d6+d6, blast)",""" • Three-headed flying monstrosities, hybrid of lion, goat, and dragon.""",""" • The draconic head breaths fire in a cone for d10 damage.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Cockatrice,"5 HP, 8 STR, 12 DEX, beak (d6)",""" • Small, hybrid creatures resembling chickens with reptilian features.""",""" • Critical damage: the victim gets petrified (d8+d8 DEX damage).""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Couatl,"9 HP, 15 WIL, bite (d6)",""" • Long, feathered serpents with colorful wings. Live in hot jungles and are considered divine by native people.""",""" • Highly intelligent and magical, are capable of speaking multiple languages.""",""" • Shapechanger: may take the form of beasts and humanoids.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Crab, Giant","3 HP, 3 Armor, 11 STR, 4 DEX, pincers (d8)",""" • Huge crustaceans that live in coastal areas and mindlessly attack anything that comes near.""",""" • Their heavy carapace makes them notably sturdy but slow and unable to swim.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Crocodile, Giant","15 HP, 1 Armor, 17 STR, 8 DEX, bite (d10+d10)",""" • 50’ long, extremely rare reptiles found on unexplored fluvial regions.""",""" • Attracted to the scent of blood or movement in the water.""",""" • Can easily destroy smaller ships with their crushing bite.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Crocodile, Large","6 HP, 1 Armor, 14 STR, 8 DEX, bite (d8)",""" • 20’ long, may attack small boats and canoes.""",""" • Attracted to the scent of blood or heavy movement in the water.""",""" • Swim silently just under the surface to ambush victims.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Cyclops,"13 HP, 18 STR, 8 DEX, 6 WIL, club (d10)",""" • Giant humanoids with a single large eye centered on the face. Dwell in caves and herd small animals.""",""" • Slow-witted, can easily be fooled by other intelligent beings.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Deep Ones,"4 HP, 11 STR, 8 DEX, 12 WIL, dagger (d6)",""" • Amphibious, fish-headed humanoids with webbed fingers. Live in deep seas and are able to see in the darkness.""",""" • Highly resistant to magical effects.""",""" • Occasionally surface to trade with coastal settlements, frequently requesting union between one of them and a human.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Demon Knight,"10 HP, 3 Armor, 16 STR, 8 DEX, 12 WIL, longsword (d8), Unholy Symbol (Hatred when bathed in blood)",""" • Once holy warriors who fell to the temptation of dark powers that they now serve in undeath. Rides nightmarish steeds into battle.""",""" • Lesser undead creatures mindlessly follow their command.""",""" • Their evil aura frightens anyone who comes into nearby range.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Djinn,"10 HP, 1 armor, 15 DEX, fists(d8)",""" • Tall, cloudy humanoids from the plane of air. Highly intelligent, use invisibility and illusions to trick other beings.""",""" • May transform into a whirlwind, sweeping everything on its path.""",""" • Capable of granting wishes, the result always is distorted based on the wording of the wish.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dog, Hunting","2 HP, 12 DEX, bite (d6)",""" • Bulky, domestic-only breeds with a ferocious nature.""",""" • Track by scent. Once started, very""",""" • Difficult to put off the trail.""",""" • Only attack at their owner’s command.""",xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dog, War","3 HP, 1 Armor, 12 STR, bite (d8)",""" • Large breeds selected by their bulk and strength.""",""" • Not scared by noise or battle.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dog, Wild","3 HP, 12 DEX, bite (d6)",""" • Wild dogs that roam in forests in large packs.""",""" • While in packs of at least 4 dogs, morale checks are made with advantage.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Black","11 HP, 2 Armor, 16 STR, 16 DEX, 14 WIL, bite (d10+d10)",""" • Cruel, amphibious dragons who dwell in swamps and marshes.""",""" • Attack by separating their victims and killing them one by one.""",""" • Breathes acid in a long line for d10 damage to all caught, corroding wood and cloth.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Blue","13 HP, 2 Armor, 16 STR, 17 WIL, bite (d10+d10)",""" • Proud dragons that dwell in deserts and other drylands.""",""" • Extremely vain, often take victims as slaves to adore them.""",""" • Breathes lightning in a long line for d10 damage to all caught.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Brass","11 HP, 2 Armor, 16 STR, 19 WIL, bite (d8+d8)",""" • Charismatic, good-aligned dragons who hide their hoards in dunes of sand.""",""" • Highly value conversations, frequently shapechanges into humanoids to interact with adventurers.""",""" • Breathes gas in a cone, targets affected fall asleep or flee in fear.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Bronze","13 HP, 2 Armor, 16 STR, 14 DEX, 14 WIL, bite (d8+d8)",""" • Coastal dwelling, good dragons who eat mostly fish and aquatic plants.""",""" • Shapechange into small beasts to watch nearby wildlife and passing ships.""",""" • Breathes lightning on a line for d10 damage or repulsion gas in a cone, pushing victims away.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Copper","12 HP, 2 Armor, 16 STR, 14 DEX, 18 WIL, bite (d8+d8)",""" • Good aligned dragons that dwell in dry, rocky regions.""",""" • Appreciate jokes and riddles, frequently prank passing travelers.""",""" • Breathes acid in a cone for d10 damage or slowing gas, halving the movement of all affected.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Gold","15 HP, 3 Armor, 18 STR, 13 DEX, 16 WIL, bite (d10+d10)",""" • Majestic, reserved dragons with dark golden scales. Can be found anywhere, but nest atop mountains, feeding of jewels and other minerals.""",""" • Master shapechangers, can take the form of any humanoid or animal.""",""" • Breath fire in a massive cone for d10 damage to all caught.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Green","12 HP, 2 Armor, 15 STR, 18 WIL, bite (d8+d8)",""" • Treacherous, scheming forest-dwelling amphibious dragons.""",""" • Highly cunning, value the victims they tricked and their power of influence more than any hoard of gold.""",""" • Breathes a thick cloud of poisonous gas for d10 damage to all caught.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Dragon. Red,"15 HP, 3 Armor, 18 STR, 12 DEX, 16 WIL, bite (d10+d10)",""" • Gargantuan, proud, greedy, and cruel. Guarding their massive hoards atop the highest mountains, these are the most dangerous dragons of existence.""",""" • Arrogant and tyrannical, act on impulse when angered, frequently wiping out civilizations as a show of power.""",""" • Breathes fire in a cone for d12 damage to all caught in the flames.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, Silver","13 HP, 3 Armor, 16 STR, 14 WIL, bite (d8+d8)",""" • Noble and selfless dragons, with shining scales rescinding of a knight's armor. Dwell at the top of cold mountains.""",""" • Frequently deals with humans, going through great efforts to help those in need.""",""" • Breathe a line of cold dealing d10 damage and potentially paralyzing those caught.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Dragon, White","11 HP, 2 Armor, 16 STR, bite (d8+d8)",""" • Ferocious, primal dragons that dwell in cold regions. Hunt dangerous prey and keep their bodies as trophies.""",""" • Effortlessly crosses snow and ice.""",""" • Breathes freezing cold for d10 Damage to all in the blast, freezing any liquids and creating an icy surface.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Dragon Turtle,"30 HP, 3 Armor, 20 STR, 6 DEX, bite (d10+d10)",""" • Gargantuan sea monsters with the shell of a turtle and draconic features. Lurk in deep oceans and can be mistaken for a small island when on the surface.""",""" • Attack ships, sinking them to add any treasure to their massive underwater hoards.""",""" • Breathes large clouds of steam, clogging visions and damaging all inside for d8 damage.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Drider,"6 HP, 14 DEX, bite (d6)",""" • Hybrid monstrosities resulting from the transformation ritual of the servants of the drow spider deity. Have the 8 legs of a giant spider and the upper body and head of the drow.""",""" • Hunt on underworld caverns, eating the blood of paralyzed victims. Frequently accompanied by giant spiders.""",""" • Critical Damage: The poison paralyzes the victim’s body (d6 DEX damage).""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Diver Ant,"3 HP, 12 DEX, bite (d6)",""" • Giant, omnivorous black ants that build their colonies deep underground.""",""" • When hungry, they will consume anything in their path.""",""" • Once in melee combat, it will not stop attacking its victim until dead.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Drow,"4 HP, 8 STR, 14 DEX, 12 WIL, shortsword (d6), a Spellbook (choose one: Web, Spider Climb, or Night Sphere)",""" • Elvish humanoids of dark skin and hair of silver and white. Live deep in the underworld and feverishly worship strange deities.""",""" • Can see perfectly in the dark, but are blinded by bright light.""",""" • Wander in groups, frequently accompanied by giant spiders.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Dryad,"4 HP, 14 WIL, unarmed (d4)",""" • Shy, peaceful tree spirits whose manifest in a beautiful female form.""",""" • Spiritually bound with a tree, may disappear by joining with the tree again. Can’t go too far away from it and dies if the tree dies.""",""" • Charm strangers that come near. Charmed creatures mindlessly walk into the tree, disappearing forever if not rescued quickly.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Duergar,"4 HP, 1 Armor, 14 STR, 8 WIL, Warhammer (d10, bulky)",""" • Scrawny dwarven creatures with grey skin and ugly visages. Dwell in underworld strongholds and are known for their avarice.""",""" • Can see perfectly in the dark, but are blinded by bright light.""", • Surprise victims using their ability to turn invisible for a short time.,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Dwarf,"4 HP, 2 Armor, 14 STR, hammer (d8)",""" • Short and bulky, bearded humanoids who dwell in mountains and underground.""",""" • Can see perfectly in low-light and partially in darkness.""",""" • Highly resistant to poison and disease.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Efrreti,"10 HP, 15 STR, 14 WIL, flaming sword (d10, bulky)",""" • Highly intelligent beings from the elemental plane of fire. Manifest as huge men with terrifying faces and an aura of heat and smoke.""",""" • May transform into a pillar or wall of flames, burning everything it touches.""",""" • Might be summoned by powerful magic and ordered to complete tasks, but will subvert commands while following them to the letter.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Elemental, Air","16 HP, 11 STR, 15 DEX, 8 WIL, wind blow (d8)",""" • Huge, living vortexes of whirling air.""",""" • Sweep away lighter creatures with their strong winds.""",""" • Harm aerial creatures by disrupting their flight.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Elemental, Earth","12 HP, 3 Armor, 16 STR, 8 DEX, fist (d10)",""" • Huge humanoid beings made of earth and stone.""",""" • Create small earth tremors with their natural strength.""",""" • Can meld into the earth and move through it as if swimming.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Elemental, Fire","16 HP, 12 DEX, 14 WIL, blow (d8)",""" • Living columns of pure flame that burn everything in their path.""",""" • Highly vulnerable to being touched by water or rain.""",""" • Can scatter their flames, freely changing its form.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Elemental, Water","12 HP, 2 armor, 15 STR, blow (d8)",""" • Huge waves of flowing water.""",""" • Must stay near a body of water.""",""" • Envelop victims inside their forms to drown then.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
